    s.id   p.id     y    x1    x2    x3    x4    x5    x6    x7
1      1 297497 10.24  9.47 10.70 10.54  9.01 10.10 10.30  9.86
2      2 218250 10.47 11.46  8.87  9.90 10.31  9.71 11.32 11.28
3      3 808994 11.61 10.00 11.69 11.31  9.39  8.88 10.01  9.58
4      4 352628  9.57 10.09  8.95  8.49  9.63  8.15  9.99  9.56
5      5 371676  9.90  9.37 10.91 11.63 11.77 10.69 10.84 11.28
6      6 342721  9.65  9.13 10.28 10.11  8.74  9.84 10.30 10.51
7      7 936561 11.83 11.77 10.93  8.87 10.14  9.91 10.50  9.95
8      8 688596  9.95 10.89  9.59  8.78 10.50 10.80 10.89 11.43
9      9 617893 11.83 12.59  9.18 11.18 10.72 11.35  9.80  9.56
10    10 892466 10.08  9.44 11.35  9.81 10.64 10.28 10.47 10.13
11    11 583189 11.70 11.52 10.87  9.32 10.96  9.26  9.15  9.64
12    12 884235  9.12 10.49  9.17  7.54 11.33  9.55 10.14 10.79
13    13 247372 10.85 11.43  9.74 11.07 10.60 12.19 10.14 10.71
14    14 845347 11.47 10.72 11.31 10.21  8.86 10.51  8.77  9.31
15    15 584813  9.81 11.29  8.97  8.25 10.23 10.53 11.86 12.21
16    16 331417  9.30  7.65 11.13 10.87  9.69  7.66  7.41  7.08
17    17 420750  9.87  9.40 10.35  9.36  8.39  9.66  9.35  9.57
18    18 848683  8.88  8.97  9.47 10.35  9.82 10.14 11.12 11.22
19    19 432153 10.36 10.72  9.66 10.57 10.92 10.28 11.48 11.17
20    20 628985 10.63  9.87 11.09 10.98 10.61  9.27  9.52  9.31
21    21 402889 10.02 10.64  9.69  9.22 11.51  9.34  9.98 10.45
22    22 545527  9.15  9.20 10.14  9.90 10.30 10.56 10.65  9.93
23    23 651801 10.53 11.11 10.40  8.39 10.60 11.21  9.75 10.44
24    24 128116 10.42 10.53  9.73  9.80  9.76 10.48  9.19  9.26
25    25 962372  8.65  8.56 10.07 10.20 10.61 10.02 10.40 10.38
26    26  40027 10.82  9.48 10.80 12.01  8.82  9.03  8.87  8.24
27    27 331741 10.18 10.09  9.22 11.47 10.01  9.49 10.46 10.25
28    28 688675 11.43 11.57 10.41  8.90 11.45  9.22  6.98  6.90
29    29 185088  9.38 10.40  8.97  9.04 10.47 11.07  9.74  9.57
30    30 149812 10.69 10.60 10.40 11.54 10.50 11.14 12.44 12.40
31    31 448176  9.99  9.46 11.53  9.98 11.66 10.70 12.11 11.75
32    32 260936  9.97  9.89 10.11  9.69  9.97 10.55  8.54  8.80
33    33  91951 11.46 12.22 10.02  8.47 10.70  9.59 10.35 10.60
34    34 894025  9.90  8.97 10.73 11.90 10.69  9.60  9.65  9.92
35    35 373101 11.17 11.12 11.34  7.98  8.70 10.87  9.51 10.47
36    36 305071  9.38 10.35  9.27  9.00 11.47  8.69 12.63 11.59
37    37 179629 11.00  9.90 11.70 10.67 10.28  9.79  9.65 10.06
38    38 300820  9.91 10.88  8.15 10.09  9.81  9.47 10.03  9.48
39    39 103049  9.36 10.69  7.63 10.14 10.41  9.14 10.17  9.96
40    40 915820  9.79  9.64 10.35  9.54  9.51 10.31 10.43 10.96
41    41 953096  8.79  9.54  9.16  9.78 11.03 11.11  9.89  9.15
42    42 446925  9.68  9.81  8.86 10.42  8.89  8.88  9.17  9.11
43    43 233823  7.88  9.40  6.61  9.84  7.82 10.82  9.91 10.13
44    44 323472  9.14  9.13  9.78 10.17 10.62 10.19 11.23 11.18
45    45 675515 10.06 10.02 10.19  9.91  9.35 10.36 12.60 12.26
46    46 558965 10.84 10.35 10.07 10.61 10.45  8.22  8.81  8.85
47    47 291438 10.61 11.38  9.80  9.50  8.96 12.03 10.62 11.18
48    48 441567 10.91 10.82 10.64 10.69 10.59 10.59 10.27 10.16
49    49  33985 10.24  9.20 12.00  9.16  9.94  9.61 10.80 10.74
50    50 729983 10.84 10.29 10.91  9.92  8.31 10.32 10.52 11.23
51    51 183190  9.53  9.80  9.90  9.59  9.51 11.18 10.53 11.15
52    52 767464  9.17  8.80  9.75 10.12  9.71  8.82  9.68  9.03
53    53 144760 10.75 10.58 11.02 11.19 12.29 11.26 12.83 11.74
54    54 704173 11.02 10.56 11.19 11.27 10.58 11.48 10.90 10.93
55    55 679179 11.03 10.49 11.16 10.45 10.89  9.89  8.58  9.00
56    56 382746  9.85 10.83  8.32 10.05 10.09 10.11 11.50 11.06
57    57 302919  9.51  9.01 10.05 10.11  9.81  8.76  9.77  8.60
58    58 594967 10.63  9.80 11.26 10.73  9.17 10.74  9.27  9.90
59    59 702793 10.29  9.83 11.30  8.99  9.72 10.54  9.60 10.73
60    60 974842  8.86  9.51  8.16 11.69  9.51 10.93 10.10 10.43
61    61 755316 11.59 10.40 12.02 10.15  9.95  9.71  8.42  7.55
62    62 275564  9.18  9.73  8.90 10.65 10.35 10.04  9.10  9.64
63    63 474705  8.97  9.70  9.17  9.07  9.71 10.26  9.47 10.02
64    64 158827  9.46  9.12  9.22 11.43  9.46  9.17 10.94  9.51
65    65 225003 11.70 12.31 10.01  9.33 10.61 10.26 10.06 10.97
66    66 978778 10.87 11.04 10.26  9.72  9.61 10.26 11.18 11.47
67    67 345114 10.36 10.33 10.26 10.35 10.59 10.95 10.98 11.14
68    68 331464 10.72 11.16 10.12 10.31 11.46 11.10  9.87  9.76
69    69  60028  9.23  9.54  9.02 10.19  9.86 10.15  9.57  9.35
70    70 346826 12.02 10.99 11.28 11.93 10.07  9.83 11.10 10.82
71    71 376464  9.74 10.46  8.23 10.49 10.29  8.13 10.45  9.53
72    72 889119  9.42  9.75  8.73 11.49 10.79  9.97  9.69  9.02
73    73 471537 11.22 11.63 10.39  9.24  9.19 12.03 10.07 10.91
74    74 701368  9.42  8.76 10.41 10.33 10.45  8.88  8.16  8.50
75    75  91061 10.10 10.17  9.32 11.83 10.62  9.57 11.20 10.45
76    76 876968 10.60 10.71 10.10  9.28  8.94 11.12 10.42 10.14
